  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, MAR
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",2.5
-114.85,31.03,BC,SFLBN,SAN FELIPE,0
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,0
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0.8
-112,26.87,BCS,MLGBS,MULEGE,0
-109.98,24.07,BCS,PLNBS,LOS PLANES,0
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0
-109.6,23.03,BCS,SARBS,EL SARGENTO,0
-109.88,23.72,BCS,SBABS,SAN BARTOLO,0
-109.66,22.88,BCS,SLUBS,"CABOS SAN LUCAS, BCS. AUTOMATICA",0
-109.72,23.45,BCS,SNTBS,SANTIAGO,6.1
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.74,20,CAMP,BOLCA,BOLONCHEN,0
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),9.9
-90.72,19.36,CAMP,CANCA,CANASAYAB,0
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",19
-91.76,18.65,CAMP,CARCA,EL CARMEN,4
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,0
-90.54,19.84,CAMP,CMPCA,CAMPECHE,0
-91.05,18.18,CAMP,CNDCA,CANDELARIA,0
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,0
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,0
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,0
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,2.1
-92.09,18.13,CAMP,PLZCA,PALIZADA,14
-91.2,18.9,CAMP,SBNCA,SABANCUY,3
-89.87,19.71,CAMP,XCPCA,XCUPIL,0
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",3
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",0
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,0
-107.25,28.8,CHIH,BACCH,BACHINIVA,0
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",10.9
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,13.5
-107.72,27.03,CHIH,BTPCH,BATOPILAS,0.3
-107.9,27.9,CHIH,BTVCH,BATOVIRA,8
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,0
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,0
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,0
-106.77,26.23,CHIH,CHNCH,"CHINATU, (AUTOMATICA)",0
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,0
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,0
-105.38,27.41,CHIH,CLNCH,COLINA,0
-108.54,27.42,CHIH,CNDCH,CHINIPAS,3
-107.64,27.76,CHIH,CRLCH,CREEL,1
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,0
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,0
-108.3,29.2,CHIH,GPCCH,GUAPOCA,4.1
-107.28,26.68,CHIH,GRCCH,GUERACHIC,0
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,0
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,0
-104.92,27.12,CHIH,JMNCH,JIMENEZ,0
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,0
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,0
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,0
-104.4,29.57,CHIH,OJNCH,OJINAGA,0
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,0
-105.7,26.9,CHIH,PRRCH,PARRAL,0
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,0
-106.5,26.4,CHIH,RVGCH,RANCHO DEL VERGEL,0
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,0.4
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,0
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,0
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,0
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,0
-108.38,28.42,CHIH,YEPCH,YEPACHE,3
-92.8,16.55,CHIS,ACACP,ACALA,0
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,0
-91.91,15.78,CHIS,AQECP,AQUEXPALA,4.2
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,0
-93.15,16.64,CHIS,BOQCP,BOQUERON,0
-92.72,15.35,CHIS,CACCP,CACALUTA,5.6
-92.48,16.31,CHIS,CASCP,CASCAJAL,0
-93.1,16.93,CHIS,CHICP,CHICOASEN,0
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,22.3
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,0.4
-92.58,15.2,CHIS,DESCP,DESPOBLADO,0
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,0
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,0
-93.13,16.64,CHIS,GRICP,GRIJALVA,0
-92.47,15.13,CHIS,HUICP,HUIXTLA,0
-92.73,15.87,CHIS,JAPCP,JALTENANGO,1
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),0
-90.7,16.58,CHIS,LACCP,LACANTUN,22.8
-93.56,16.7,CHIS,LFLCP,LAS FLORES,0
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),32.1
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,0
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,93.7
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,5.4
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,93.2
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,0
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,83.7
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",0
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,31.3
-92.67,15.92,CHIS,REFCP,REFORMA,0.3
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,0
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,72.8
-93.38,17.43,CHIS,SAYCP,SAYULA,71.5
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,0
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,0
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,0
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,13
-92.82,16.94,CHIS,SNACP,SANTA MARIA,51.7
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),0
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,0
-93.75,16.09,CHIS,TONCP,TONALA,0
-93.53,15.88,CHIS,TPICP,TRES PICOS,0
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,0
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,0
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,0
-93.33,17.12,CHIS,YAMCP,YAMANHO,7.3
-100.84,28.34,COAH,ADLCL,ALLENDE,0
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,1.3
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,0
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,0
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,0
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,3
-100.65,26.84,COAH,CDLCL,CANDELA,5
-103.47,25.54,COAH,CYTCL,COYOTE,0
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,0
-100.82,28.82,COAH,LFGCL,LA FRAGUA,0
-103.28,25.07,COAH,LFLDR,LA FLOR,0
-103.2,25.6,COAH,MATCL,MATAMOROS SL,0
-101.42,26.91,COAH,MCVCL,MONCLOVA,5.5
-101.51,27.88,COAH,MZQCL,MUZQUIZ,6
-102.4,27.32,COAH,OCMCL,OCAMPO,0
-102.18,25.44,COAH,PARCL,PARRAS,0
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,0.3
-101,25.46,COAH,PRSCL,PROGRESO,5.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,0
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),0.8
-101.12,27.84,COAH,SBNCL,SABINAS,3
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,5
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,0
-102.98,25.76,COAH,SPECL,SAN PEDRO,0
-101.02,25.38,COAH,STOCL,SALTILLO,0
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,0
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,0
-101.9,29,COAH,ZPTCL,ZAPATA,4
-103.61,19.25,COL,BVSCM,BUENA VISTA,0
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,3.5
-103.71,19.3,COL,CHNCM,EL CHANAL,3.8
-103.63,18.81,COL,CLLCM,CALLEJONES,6.1
-103.76,19.32,COL,CMLCM,COMALA,3.5
-103.8,19.21,COL,CQMCM,COQUIMATLAN,2.9
-103.6,19.33,COL,CUACM,CUAHTEMOC,0
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,2.3
-103.87,19.17,COL,LAECM,LA ESPERANZA,0
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,5.1
-103.73,19.22,COL,LPSCM,LA POSTA,2.8
-104.32,19.04,COL,MNZCM,MANZANILLO,0
-103.82,19.27,COL,PNTCM,PEÒITAS,3.5
-103.73,19.22,COL,RDRCM,RADAR,4
-103.7,19.41,COL,SCHCM,SUCHITLAN,0
-103.88,18.93,COL,TCMCM,TECOMAN,32
-103.52,19.25,COL,TRJCM,TROJES,5
-103.66,19.28,COL,TRPCM,TRAPICHE,1.5
-99.21,19.22,DF,AJSDF,AJUSCO,12.2
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",3.8
-99.15,19.5,DF,CBIIDF,ESC. CIENCIAS BIOLOGICAS II,1
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,1.7
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,1.9
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,1
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,0
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,0
-99.18,19.42,DF,CHLDF,CHAPULTEPEC LAGO,0.2
-99.14,19.47,DF,CMTDF,CIEN METROS,2.8
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,3.6
-99.09,19.19,DF,CTNDF,CUAUTENCO,7.6
-99.09,19.48,DF,CYLDF,COYOL,0.2
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,4
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,1
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,8.3
-99.15,19.38,DF,DVLDF,DEL VALLE,0.5
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,2.2
-99.29,19.36,DF,EYQDF,EL YAQUI,4
-99.35,19.3,DF,EZCDF,EL ZARCO,0
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),0
-99.26,19.31,DF,HYTDF,HUAYATLA,1
-99.3,19.34,DF,LVNDF,LA VENTA,0
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,12.1
-99.13,19.4,DF,MCRDF,M. CARRILLO,0.8
-99.03,19.19,DF,MLPDF,MILPA ALTA,7
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),0
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,0.4
-99.1,19.38,DF,PBADF,P. B. ACULCO,0.8
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,1.4
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,0
-99.17,19.44,DF,PBTDF,P. B. TIZOC,1.8
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,2
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,0
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,0.8
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,0.5
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,0
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,1.5
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,8.6
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,1.2
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,1.5
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,1.4
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,4.3
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",3
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,3.1
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,1
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,1.8
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),3
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,1.2
-99,19.17,DF,SANDF,SANTA ANA,0
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,5.2
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,0.7
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,2.5
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,1.5
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,0
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),0
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,2
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,5.6
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,1
-99.21,19.4,DF,TNGDF,TRIANGULO,2.6
-99.14,19.2,DF,TPJDF,TOPILEJO,0
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,1.5
-99.21,19.36,DF,TRGDF,TARANGO,0
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,3.1
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,3.8
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),0.5
-98.97,19.21,DF,TTLDF,TETELCO,0
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),3.3
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",0
-104.48,26.24,DGO,APRDR,AGUA PUERCA,0
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,0
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),0
-104.8,24.52,DGO,CBRDR,P. CABORACA,0
-104.07,26.3,DGO,CEBDR,CEVALLOS,0
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,0
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,0
-103.7,24.87,DGO,CNCDR,CUENCAME,0
-104.75,24.5,DGO,CNTDR,CANATLAN,0
-104.67,24.03,DGO,DRGDR,DURANGO,0.1
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),0
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,0
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,0
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,0
-105.96,25.93,DGO,GNCDR,GUANACEVI,0
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,0
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,0
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,0
-103.28,25.06,DGO,LFLDR,LA FLOR,0
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",0
-103.85,25.82,DGO,MPMDR,MAPIMI,0
-104.11,25.23,DGO,NZSDR,NAZAS,0
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),0
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,0
-106.37,26.13,DGO,ROSDR,LA ROSILLA,0
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,0
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),0
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,0
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,0
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,0
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,0
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,0
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,0
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,0
-105.57,26.08,DGO,SRDDR,SARDINAS,0
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,0
-103.44,26.11,DGO,THODR,TLAHUALILO,0
-105.73,25.34,DGO,TLHDR,TEPEHUANES,0
-106.98,24.93,DGO,TMZDR,TAMAZULA,0
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,0
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,0
-99.91,16.85,GRO,ACAGR,ACAPULCO,3
-99.5,17.5,GRO,AERGR,AEROPUERTO,8.2
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,11
-99.1,16.95,GRO,AYUGR,AYUTLA,7.9
-99.2,18.2,GRO,BVSGR,BUENA VISTA,10
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,2.6
-99.7,17.67,GRO,CCHGR,CHICHIHUALCO,3.5
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,1.9
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,9.3
-99.18,17.61,GRO,CHLGR,CHILAPA,7
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,1
-99.66,18.25,GRO,COCGR,COCULA,3.7
-101.05,17.38,GRO,CYQGR,COYUQUILLA,7
-99.72,17.32,GRO,ECAGR,EL CARACOL,0.6
-100.68,18.52,GRO,EGLGR,P. EL GALLO,3
-99.55,18.35,GRO,IGLGR,IGUALA,4.1
-101,18.45,GRO,LCLGR,LA CALERA,0
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,0
-99.24,16.76,GRO,LDGGR,LAS VIGAS,9.5
-99.37,17.47,GRO,MCHGR,MOCHITLAN,6.6
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,1.8
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,10
-98.74,17.78,GRO,OLNGR,OLINALA,5.5
-98.43,16.68,GRO,OMEGR,OMETEPEC,2.5
-99.43,17.5,GRO,PETGR,PETAQUILLAS,11.5
-98.51,16.66,GRO,QTZGR,QUETZALA,2.3
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,1
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,3.6
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,8
-99.61,18.55,GRO,TAXGR,TAXCO,14.8
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,18.1
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,1.5
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,17.5
-98.6,17.5,GRO,TLPGR,TLAPA,6.2
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,1.4
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,6.1
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,5
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,3.1
-101.52,20.43,GTO,ABSGJ,ABASOLO,0
-100.72,20.03,GTO,ACNGJ,ACAMBARO,9
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,2.5
-100.58,20.55,GTO,AMCGJ,AMECHE,6
-101.37,20.71,GTO,ANSGJ,ARANDAS,0
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,4
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,0
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),0.5
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,0
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",4
-100.82,20.53,GTO,CLYGJ,CELAYA,0.9
-101.47,21.07,GTO,COMGJ,COMANJILLA,0
-100.36,20.2,GTO,CORGJ,CORONEO,11.7
-101.67,20.62,GTO,CRMGJ,CUERAMARO,0
-100.95,20.48,GTO,CRTGJ,CORTAZAR,0.4
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,0
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),29.5
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,0
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,0
-100.5,20.2,GTO,ECBGJ,EL CUBO,4.5
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,0
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,0
-101.67,21.17,GTO,EPLGJ,EL PALOTE,0
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,0
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,0
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,0.5
-101.35,20.68,GTO,IRPGJ,IRAPUATO,0
-100.52,20.13,GTO,JCRGJ,JERECUARO,7.5
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,1.4
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,4.9
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,4.5
-101.67,21.1,GTO,LENGJ,LEON,0
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,0
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,0.5
-101,20.3,GTO,LMTGJ,LOMO DE TORO,0
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,0
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,0
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",8.4
-101.19,20.13,GTO,MORGJ,MOROLEON,4
-101.52,21.63,GTO,OCMGJ,OCAMPO,0
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",0.8
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",0.6
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,0
-101.13,20.52,GTO,PERGJ,PERICOS,0.5
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,0
-100.5,21.22,GTO,POZGJ,POZOS,0
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,0
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,0
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,1.2
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,1.3
-101.2,20.57,GTO,SLMGJ,SALAMANCA,1.5
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,2.9
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,0
-100.82,20.05,GTO,SLSGJ,P. SOLIS,11
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,7.2
-101.07,20.3,GTO,SRTGJ,SANTA RITA,1.9
-100.75,20.28,GTO,TARGJ,TARIMORO,6.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,1.2
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,2.5
-101.37,20.74,GTO,TPCGJ,TEPALCATES,0.2
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,1
-100.09,21.3,GTO,XICGJ,XICHU,0
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",1
-98.94,20.27,HGO,ACTHD,ACTOPAN,3
-98.33,21.02,HGO,ATCHD,ATLAPESCO,18.5
-99.36,20.16,HGO,ENDHD,PRESA ENDO,3.5
-99.63,20.36,HGO,HCPHD,HUICHAPAN,4
-98.42,21.15,HGO,HJTHD,HUEJUTLA,39
-99.22,20.48,HGO,IXMHD,IXMIQUILPAN,1
-99.18,21.08,HGO,LMTHD,MEZTITLAN,0.1
-99.22,20.24,HGO,MXQHD,MIXQUIAHUALA,2.8
-98.6,21.17,HGO,ORZHD,SAN FELIPE ORIZATLAN,42.5
