  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, MAY
-115.19,32.41,BC,ENLBN,EJIDO NUEVO LEON,0
-116.3,32.52,BC,HNGBN,EL HONGO,10.8
-116.81,32.1,BC,LAMBN,LA MISION,8.7
-115.27,32.39,BC,MXCBN,MEXICALI,0
-114.73,32.7,BC,PDMBN,PRESA DERIVADORA MORELOS,0
-116.6,31.89,BC,PLZBN,"LÛpez Zamora, B.C.  SMN*",9.4
-114.85,31.03,BC,SFLBN,SAN FELIPE,0
-115.94,30.53,BC,SQNBN,"San Quintin, B.C. SMN*",134.1
-111.66,25,BCS,CCNBS,CD. CONSTITUCION,0
-109.91,22.88,BCS,CSLBS,CABO SAN LUCAS,0
-113.42,27.78,BCS,DORBS,DIAZ ORDAZ,0.5
-114.05,27.97,BCS,GNGBS,GUERRERO NEGRO,0
-109.7,23.68,BCS,LBABS,LOS BARRILES,0
-110.37,24.15,BCS,LPZBS,LA PAZ,0
-111.34,26.02,BCS,LRTBS,LORETO,0
-112,26.87,BCS,MLGBS,MULEGE,0
-109.98,24.07,BCS,PLNBS,LOS PLANES,0
-109.55,23.58,BCS,RBRBS,LA RIBERA,0
-110.05,23.8,BCS,SANBS,SAN ANTONIO,0
-109.6,23.03,BCS,SARBS,EL SARGENTO,0
-109.88,23.72,BCS,SBABS,SAN BARTOLO,0
-109.67,23.05,BCS,SJCBS,SAN JOSE DEL CABO,0
-109.66,22.88,BCS,SLUBS,"CABOS SAN LUCAS, BCS. AUTOMATICA",0
-109.72,23.45,BCS,SNTBS,SANTIAGO,0
-112.28,27.3,BCS,SRLBS,SANTA ROSALIA,0
-112.27,27.34,BCS,STRBS,"SANTA ROSALÕA, BCS. AUTOMATICA",0
-110.22,23.43,BCS,TSNBS,TODOS SANTOS,0
-89.74,20,CAMP,BOLCA,BOLONCHEN,26
-89.89,18.37,CAMP,CALCA,CALAKMUL (AUTOMATICA),47.4
-90.72,19.36,CAMP,CANCA,CANASAYAB,203.8
-90.55,19.85,CAMP,CAMCA,"Campeche, Camp.  SMN*",36.8
-91.76,18.65,CAMP,CARCA,EL CARMEN,161.2
-90.72,19.36,CAMP,CHMCA,CHAMPOTON,166.5
-90.54,19.84,CAMP,CMPCA,CAMPECHE,39.5
-91.05,18.18,CAMP,CNDCA,CANDELARIA,238
-90.54,19.84,CAMP,COBCA,CAMPECHE OBSERVATORIO,82.3
-90.74,18.61,CAMP,ESCCA,ESCARCEGA,204.4
-90.14,20.2,CAMP,HECCA,HECELCHAKAN,129.5
-89.84,19.76,CAMP,HPOCA,HOPELCHEN,29.4
-90.22,19.44,CAMP,NYXCA,NOH-YAXCHE,14.2
-92.09,18.13,CAMP,PLZCA,PALIZADA,117
-91.2,18.9,CAMP,SBNCA,SABANCUY,231.5
-89.87,19.71,CAMP,XCPCA,XCUPIL,67.6
-108.08,29.22,CHIH,C08219,"PE—ITAS, MADERA",0
-105.97,28.7,CHIH,C08270,"LA MESA, ALDAMA",6
-107.63,28.52,CHIH,AGZCH,PRESA ABRAHAM GONZALEZ,4
-107.25,28.8,CHIH,BACCH,BACHINIVA,12
-108.21,28.2,CHIH,BASCH,"Basaseachic, Chih.  SMN*",17
-108.21,28.21,CHIH,BSSCH,BASSASEACHIC,5.2
-107.72,27.03,CHIH,BTPCH,BATOPILAS,2.2
-107.9,27.9,CHIH,BTVCH,BATOVIRA,4
-107.9,30.5,CHIH,CAGCH,CASAS GRANDES,0
-105.17,27.69,CHIH,CCOCH,CD. CAMARGO,8
-105.46,28.2,CHIH,CDLCH,CD. DELICIAS,5.5
-106.77,26.23,CHIH,CHNCH,"CHINATU, (AUTOMATICA)",0
-106.17,28.57,CHIH,CHUCH,PRESA CHIHUAHUA,5.7
-106.44,31.74,CHIH,CJZCH,CD. JUAREZ,4
-105.38,27.41,CHIH,CLNCH,COLINA,8
-108.54,27.42,CHIH,CNDCH,CHINIPAS,0
-107.64,27.76,CHIH,CRLCH,CREEL,0
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,5.7
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,2
-108.3,29.2,CHIH,GPCCH,GUAPOCA,0.7
-107.28,26.68,CHIH,GRCCH,GUERACHIC,0
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,0.1
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,0
-104.92,27.12,CHIH,JMNCH,JIMENEZ,32.5
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,8.3
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,0
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,59
-104.4,29.57,CHIH,OJNCH,OJINAGA,20
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,40
-105.7,26.9,CHIH,PRRCH,PARRAL,18.3
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,5.7
-106.5,26.4,CHIH,RVGCH,RANCHO DEL VERGEL,1.9
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,2
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,0
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,0
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,40
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,18
-108.38,28.42,CHIH,YEPCH,YEPACHE,4
-92.8,16.55,CHIS,ACACP,ACALA,179.1
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,132.2
-91.91,15.78,CHIS,AQECP,AQUEXPALA,15.5
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,703.5
-93.15,16.64,CHIS,BOQCP,BOQUERON,119.7
-92.72,15.35,CHIS,CACCP,CACALUTA,303.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,134.2
-93.1,16.93,CHIS,CHICP,CHICOASEN,66.5
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,202.6
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,69.5
-92.58,15.2,CHIS,DESCP,DESPOBLADO,339.5
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,316.5
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,364.5
-93.13,16.64,CHIS,GRICP,GRIJALVA,121.9
-92.47,15.13,CHIS,HUICP,HUIXTLA,383.3
-92.73,15.87,CHIS,JAPCP,JALTENANGO,125.5
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),44.4
-90.7,16.58,CHIS,LACCP,LACANTUN,490
-93.56,16.7,CHIS,LFLCP,LAS FLORES,187.8
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),128
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,251
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,110.3
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,55.6
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,490.2
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,246.6
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",0.8
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,263.3
-92.67,15.92,CHIS,REFCP,REFORMA,146.9
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,142
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,120.2
-93.38,17.43,CHIS,SAYCP,SAYULA,295.8
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,187.9
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,201.2
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,132
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,71
-92.82,16.94,CHIS,SNACP,SANTA MARIA,149.4
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),255
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,220.3
-93.75,16.09,CHIS,TONCP,TONALA,524.3
-93.53,15.88,CHIS,TPICP,TRES PICOS,689.7
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,238.5
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,152.7
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,268.5
-93.33,17.12,CHIS,YAMCP,YAMANHO,53.8
-100.84,28.34,COAH,ADLCL,ALLENDE,137
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,65.3
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,41
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,41
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,18
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,35.5
-100.65,26.84,COAH,CDLCL,CANDELA,36
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,91
-103.47,25.54,COAH,CYTCL,COYOTE,1
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,66.5
-100.82,28.82,COAH,LFGCL,LA FRAGUA,16.8
-103.28,25.07,COAH,LFLDR,LA FLOR,11.5
-103.2,25.6,COAH,MATCL,MATAMOROS SL,1
-101.42,26.91,COAH,MCVCL,MONCLOVA,172.4
-101.51,27.88,COAH,MZQCL,MUZQUIZ,49
-102.4,27.32,COAH,OCMCL,OCAMPO,20.7
-102.18,25.44,COAH,PARCL,PARRAS,45.7
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,73.6
-101,25.46,COAH,PRSCL,PROGRESO,73.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,100
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),32.1
-101.12,27.84,COAH,SBNCL,SABINAS,144
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,76
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,29.5
-102.98,25.76,COAH,SPECL,SAN PEDRO,16.9
-101.02,25.38,COAH,STOCL,SALTILLO,15.5
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,0.7
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,87.5
-101.9,29,COAH,ZPTCL,ZAPATA,103
-103.61,19.25,COL,BVSCM,BUENA VISTA,0
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,0
-103.71,19.3,COL,CHNCM,EL CHANAL,0.9
-103.63,18.81,COL,CLLCM,CALLEJONES,0
-103.76,19.32,COL,CMLCM,COMALA,0
-103.8,19.21,COL,CQMCM,COQUIMATLAN,2.7
-103.6,19.33,COL,CUACM,CUAHTEMOC,0
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,0
-103.87,19.17,COL,LAECM,LA ESPERANZA,0
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,0
-103.73,19.22,COL,LPSCM,LA POSTA,0
-104.32,19.04,COL,MNZCM,MANZANILLO,0.5
-103.82,19.27,COL,PNTCM,PEÒITAS,2.6
-103.73,19.22,COL,RDRCM,RADAR,0
-103.7,19.41,COL,SCHCM,SUCHITLAN,1.1
-103.88,18.93,COL,TCMCM,TECOMAN,0
-103.52,19.25,COL,TRJCM,TROJES,0
-103.66,19.28,COL,TRPCM,TRAPICHE,0
-99.21,19.22,DF,AJSDF,AJUSCO,72.9
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",35.6
-99.15,19.5,DF,CBIIDF,ESC. CIENCIAS BIOLOGICAS II,49.6
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,54.5
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,60.9
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,64.2
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,62.3
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,132.5
-99.14,19.47,DF,CMTDF,CIEN METROS,49.1
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,60.4
-99.09,19.19,DF,CTNDF,CUAUTENCO,53
-99.09,19.48,DF,CYLDF,COYOL,60.6
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,89.5
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,43.7
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,118.9
-99.15,19.38,DF,DVLDF,DEL VALLE,17.3
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,53.4
-99.29,19.36,DF,EYQDF,EL YAQUI,72.5
-99.35,19.3,DF,EZCDF,EL ZARCO,106.4
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),61.6
-99.26,19.31,DF,HYTDF,HUAYATLA,48.5
-99.3,19.34,DF,LVNDF,LA VENTA,83.4
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,89.9
-99.13,19.4,DF,MCRDF,M. CARRILLO,69
-99.03,19.19,DF,MLPDF,MILPA ALTA,64.8
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),63.1
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,46.8
-99.1,19.38,DF,PBADF,P. B. ACULCO,86.1
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),25.1
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,21.9
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,5.1
-99.17,19.44,DF,PBTDF,P. B. TIZOC,50.3
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,55.8
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,42.3
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,67.5
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,50.3
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,102.2
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,58.5
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,4.5
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,59.9
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,61.6
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,63.7
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,45.4
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",46.6
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,100.1
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,57.2
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,47.4
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),53.4
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,67.8
-99,19.17,DF,SANDF,SANTA ANA,62
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,63.8
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,24
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,38.2
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,71.2
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,83.6
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),36.4
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,29.7
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,58.6
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,43.1
-99.21,19.4,DF,TNGDF,TRIANGULO,52.2
-99.14,19.2,DF,TPJDF,TOPILEJO,33.7
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,27.1
-99.21,19.36,DF,TRGDF,TARANGO,83.5
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,54.5
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,68
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),37.8
-98.97,19.21,DF,TTLDF,TETELCO,3.2
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),9.9
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",3.5
-104.48,26.24,DGO,APRDR,AGUA PUERCA,11
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,14.5
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),1.5
-104.8,24.52,DGO,CBRDR,P. CABORACA,1.5
-104.07,26.3,DGO,CEBDR,CEVALLOS,22
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,0.1
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,0.7
-103.7,24.87,DGO,CNCDR,CUENCAME,9.1
-104.75,24.5,DGO,CNTDR,CANATLAN,0
-104.67,24.03,DGO,DRGDR,DURANGO,1.7
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),0
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,0.1
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,20.1
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,0
-105.96,25.93,DGO,GNCDR,GUANACEVI,0
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,0.6
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,0.5
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,1.2
-103.28,25.06,DGO,LFLDR,LA FLOR,11.5
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",0
-103.85,25.82,DGO,MPMDR,MAPIMI,10
-104.11,25.23,DGO,NZSDR,NAZAS,4
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),1.5
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,1.6
-106.37,26.13,DGO,ROSDR,LA ROSILLA,3
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,0
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),0
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,9.5
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,0
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,0
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,0
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,8
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,0
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,0
-105.57,26.08,DGO,SRDDR,SARDINAS,16.5
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,0
-103.44,26.11,DGO,THODR,TLAHUALILO,28
-105.73,25.34,DGO,TLHDR,TEPEHUANES,0
-106.98,24.93,DGO,TMZDR,TAMAZULA,0
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,35.1
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,0
-99.91,16.85,GRO,ACAGR,ACAPULCO,85
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",119.1
-99.5,17.5,GRO,AERGR,AEROPUERTO,46.8
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,39.4
-99.1,16.95,GRO,AYUGR,AYUTLA,63.4
-99.2,18.2,GRO,BVSGR,BUENA VISTA,174
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,22.2
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,3.2
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,48.2
-99.18,17.61,GRO,CHLGR,CHILAPA,74.5
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,186.6
-99.66,18.25,GRO,COCGR,COCULA,179.1
-99.72,17.32,GRO,ECAGR,EL CARACOL,82.6
-100.68,18.52,GRO,EGLGR,P. EL GALLO,3.3
-99.55,18.35,GRO,IGLGR,IGUALA,81.5
-101,18.45,GRO,LCLGR,LA CALERA,12
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,0
-99.24,16.76,GRO,LDGGR,LAS VIGAS,62.8
-99.37,17.47,GRO,MCHGR,MOCHITLAN,13.7
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,96.4
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,90.5
-98.74,17.78,GRO,OLNGR,OLINALA,101
-98.43,16.68,GRO,OMEGR,OMETEPEC,131.2
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,1.8
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,3
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,17
-99.61,18.55,GRO,TAXGR,TAXCO,109.5
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,116
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,0
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,192.4
-98.6,17.5,GRO,TLPGR,TLAPA,61.7
-99.4,17.57,GRO,TXTGR,TIXTLA,37.4
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,14.7
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,114
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,93.2
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,2
-101.52,20.43,GTO,ABSGJ,ABASOLO,35.2
-100.72,20.03,GTO,ACNGJ,ACAMBARO,52
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,75.8
-100.58,20.55,GTO,AMCGJ,AMECHE,42.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,55.2
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,35
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,33.5
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),23.9
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,11.8
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",8.8
-100.82,20.53,GTO,CLYGJ,CELAYA,19.8
-101.47,21.07,GTO,COMGJ,COMANJILLA,13
-100.36,20.2,GTO,CORGJ,CORONEO,33
-101.67,20.62,GTO,CRMGJ,CUERAMARO,41.7
-100.95,20.48,GTO,CRTGJ,CORTAZAR,24.2
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,59.2
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),13.7
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,13.7
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,29.7
-100.5,20.2,GTO,ECBGJ,EL CUBO,7.6
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,67.1
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,57
-101.67,21.17,GTO,EPLGJ,EL PALOTE,5
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,12
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,33.9
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,21.7
-101.35,20.68,GTO,IRPGJ,IRAPUATO,58.3
-100.52,20.13,GTO,JCRGJ,JERECUARO,30.6
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,11
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,12.6
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,3.6
-101.67,21.1,GTO,LENGJ,LEON,4.7
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,17.5
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,32.4
-101,20.3,GTO,LMTGJ,LOMO DE TORO,11.7
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,86.8
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,19
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",28.4
-101.19,20.13,GTO,MORGJ,MOROLEON,27.5
-101.52,21.63,GTO,OCMGJ,OCAMPO,22
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",33
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",15.6
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,31.5
-101.13,20.52,GTO,PERGJ,PERICOS,17.7
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,24.5
-100.5,21.22,GTO,POZGJ,POZOS,23.7
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,38.7
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,110.6
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,21.5
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,20.4
-101.2,20.57,GTO,SLMGJ,SALAMANCA,38.7
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,14.1
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,19
-100.82,20.05,GTO,SLSGJ,P. SOLIS,29.1
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,15.7
-101.07,20.3,GTO,SRTGJ,SANTA RITA,24.7
-100.75,20.28,GTO,TARGJ,TARIMORO,25
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,40.1
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,20.5
-101.37,20.74,GTO,TPCGJ,TEPALCATES,49.2
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,15
-100.09,21.3,GTO,XICGJ,XICHU,11.7
-101.02,20.27,GTO,YRDGJ,"YURIRIA CANAL ALIMENTADOR, AUTOM.",3.4
